Equivalence check: compute_frontier_planes_all_modes vs compute_frontier_planes_all_modes2
Trials: 50

Criteria: match on n_planes_total, n_labels_init, n_segments
Pair-level matches: 150/150 (100.00%)
Subspace-level matches: 27/750 (3.60%)

Pair-level details (seed, pair, base_planes, new_planes, base_labels, new_labels, base_segments, new_segments):
  00 (0, 1) 0 0 3 3 8 8
  00 (0, 2) 0 0 3 3 23 23
  00 (1, 2) 0 0 5 5 14 14
  01 (0, 1) 1 1 2 2 18 18
  01 (0, 2) 0 0 3 3 6 6
  01 (1, 2) 0 0 3 3 10 10
  02 (0, 1) 0 0 2 2 13 13
  02 (0, 2) 0 0 2 2 10 10
  02 (1, 2) 0 0 2 2 11 11
  03 (0, 1) 2 2 2 2 26 26
  03 (0, 2) 0 0 4 4 5 5
  03 (1, 2) 0 0 3 3 6 6
  04 (0, 1) 0 0 2 2 15 15
  04 (0, 2) 1 1 2 2 20 20
  04 (1, 2) 0 0 4 4 13 13
  05 (0, 1) 1 1 2 2 20 20
  05 (0, 2) 0 0 3 3 15 15
  05 (1, 2) 0 0 3 3 6 6
  06 (0, 1) 0 0 2 2 14 14
  06 (0, 2) 0 0 2 2 16 16
  06 (1, 2) 0 0 2 2 12 12
  07 (0, 1) 0 0 2 2 16 16
  07 (0, 2) 0 0 6 6 15 15
  07 (1, 2) 0 0 2 2 12 12
  08 (0, 1) 0 0 3 3 23 23
  08 (0, 2) 0 0 3 3 5 5
  08 (1, 2) 0 0 2 2 16 16
  09 (0, 1) 0 0 3 3 8 8
  09 (0, 2) 0 0 3 3 13 13
  09 (1, 2) 0 0 3 3 9 9
  10 (0, 1) 0 0 3 3 19 19
  10 (0, 2) 0 0 3 3 11 11
  10 (1, 2) 0 0 3 3 7 7
  11 (0, 1) 0 0 2 2 13 13
  11 (0, 2) 0 0 2 2 13 13
  11 (1, 2) 0 0 3 3 11 11
  12 (0, 1) 0 0 5 5 23 23
  12 (0, 2) 0 0 8 8 13 13
  12 (1, 2) 0 0 2 2 9 9
  13 (0, 1) 0 0 2 2 13 13
  13 (0, 2) 2 2 2 2 21 21
  13 (1, 2) 0 0 7 7 10 10
  14 (0, 1) 0 0 3 3 19 19
  14 (0, 2) 0 0 4 4 17 17
  14 (1, 2) 0 0 3 3 5 5
  15 (0, 1) 1 1 2 2 18 18
  15 (0, 2) 0 0 2 2 11 11
  15 (1, 2) 0 0 2 2 8 8
  16 (0, 1) 0 0 2 2 15 15
  16 (0, 2) 1 1 2 2 19 19
  16 (1, 2) 0 0 2 2 7 7
  17 (0, 1) 1 1 2 2 22 22
  17 (0, 2) 0 0 2 2 12 12
  17 (1, 2) 0 0 5 5 12 12
  18 (0, 1) 0 0 2 2 12 12
  18 (0, 2) 1 1 2 2 20 20
  18 (1, 2) 0 0 3 3 10 10
  19 (0, 1) 0 0 3 3 12 12
  19 (0, 2) 0 0 7 7 16 16
  19 (1, 2) 0 0 4 4 16 16
  20 (0, 1) 2 2 2 2 23 23
  20 (0, 2) 0 0 2 2 14 14
  20 (1, 2) 0 0 2 2 6 6
  21 (0, 1) 0 0 3 3 22 22
  21 (0, 2) 0 0 2 2 14 14
  21 (1, 2) 0 0 2 2 12 12
  22 (0, 1) 0 0 2 2 12 12
  22 (0, 2) 0 0 8 8 15 15
  22 (1, 2) 0 0 4 4 14 14
  23 (0, 1) 0 0 3 3 13 13
  23 (0, 2) 0 0 4 4 8 8
  23 (1, 2) 0 0 3 3 6 6
  24 (0, 1) 0 0 2 2 16 16
  24 (0, 2) 0 0 3 3 15 15
  24 (1, 2) 0 0 3 3 14 14
  25 (0, 1) 2 2 2 2 20 20
  25 (0, 2) 0 0 2 2 12 12
  25 (1, 2) 0 0 3 3 6 6
  26 (0, 1) 0 0 4 4 17 17
  26 (0, 2) 0 0 3 3 15 15
  26 (1, 2) 0 0 2 2 10 10
  27 (0, 1) 2 2 2 2 22 22
  27 (0, 2) 0 0 2 2 10 10
  27 (1, 2) 0 0 2 2 10 10
  28 (0, 1) 0 0 3 3 13 13
  28 (0, 2) 2 2 2 2 21 21
  28 (1, 2) 0 0 5 5 9 9
  29 (0, 1) 0 0 2 2 16 16
  29 (0, 2) 0 0 2 2 10 10
  29 (1, 2) 0 0 2 2 10 10
  30 (0, 1) 0 0 3 3 14 14
  30 (0, 2) 0 0 3 3 13 13
  30 (1, 2) 0 0 3 3 7 7
  31 (0, 1) 2 2 2 2 29 29
  31 (0, 2) 0 0 2 2 10 10
  31 (1, 2) 0 0 3 3 7 7
  32 (0, 1) 0 0 2 2 15 15
  32 (0, 2) 0 0 2 2 9 9
  32 (1, 2) 0 0 5 5 13 13
  33 (0, 1) 0 0 3 3 17 17
  33 (0, 2) 0 0 3 3 19 19
  33 (1, 2) 0 0 2 2 6 6
  34 (0, 1) 0 0 3 3 21 21
  34 (0, 2) 0 0 2 2 11 11
  34 (1, 2) 0 0 5 5 9 9
  35 (0, 1) 2 2 3 3 30 30
  35 (0, 2) 0 0 5 5 8 8
  35 (1, 2) 0 0 2 2 10 10
  36 (0, 1) 1 1 3 3 19 19
  36 (0, 2) 0 0 4 4 13 13
  36 (1, 2) 0 0 2 2 8 8
  37 (0, 1) 0 0 3 3 9 9
  37 (0, 2) 1 1 2 2 18 18
  37 (1, 2) 0 0 2 2 13 13
  38 (0, 1) 1 1 3 3 24 24
  38 (0, 2) 0 0 2 2 10 10
  38 (1, 2) 0 0 2 2 12 12
  39 (0, 1) 0 0 2 2 15 15
  39 (0, 2) 1 1 2 2 18 18
  39 (1, 2) 0 0 3 3 16 16
  40 (0, 1) 0 0 4 4 22 22
  40 (0, 2) 0 0 5 5 9 9
  40 (1, 2) 0 0 3 3 8 8
  41 (0, 1) 1 1 4 4 30 30
  41 (0, 2) 0 0 4 4 11 11
  41 (1, 2) 0 0 3 3 5 5
